Exp;Plot;Longitude;Latitude
120;213;-93.19024;45.402669
120;214;-93.190076;45.402672
120;215;-93.189909;45.402678
120;216;-93.189681;45.402678
120;217;-93.189518;45.402681
120;218;-93.189347;45.402684
120;219;-93.18918;45.40269
120;220;-93.189016;45.40269
120;221;-93.188853;45.402695
120;222;-93.188621;45.402696
120;223;-93.188446;45.402699
120;224;-93.188287;45.402702
120;225;-93.188124;45.402705
120;226;-93.187956;45.402705
120;227;-93.187785;45.402708
120;228;-93.187621;45.402704
120;229;-93.187623;45.402545
120;230;-93.187783;45.402545
120;231;-93.18795;45.402543
120;232;-93.188105;45.402537
120;233;-93.188284;45.402539
120;234;-93.188444;45.402536
120;235;-93.188619;45.402533
120;236;-93.188843;45.402528
120;237;-93.189014;45.402527
120;238;-93.189177;45.402527
120;239;-93.189344;45.402521
120;240;-93.189515;45.402519
120;241;-93.189675;45.402516
120;242;-93.189903;45.402513
120;243;-93.190073;45.40251
120;244;-93.190237;45.402507
120;245;-93.190412;45.402504
120;246;-93.190567;45.402501
120;247;-93.190731;45.4025
120;248;-93.190725;45.402379
120;249;-93.190573;45.402385
120;250;-93.190402;45.402385
120;251;-93.190239;45.402388
120;252;-93.190068;45.402391
120;253;-93.189901;45.402394
120;254;-93.189673;45.402394
120;255;-93.189509;45.402397
120;256;-93.189338;45.4024
120;257;-93.189171;45.402406
120;258;-93.189008;45.402406
120;259;-93.188844;45.402412
120;260;-93.18862;45.40242
120;261;-93.188449;45.402423
120;262;-93.188278;45.402418
120;263;-93.188107;45.402421
120;264;-93.187948;45.402421
120;265;-93.187777;45.402424
120;266;-93.187617;45.402429
120;267;-93.187614;45.402274
120;268;-93.187774;45.402275
120;269;-93.187941;45.402272
120;270;-93.188112;45.402272
120;271;-93.188276;45.402269
120;272;-93.188435;45.402266
120;273;-93.18861;45.402263
120;274;-93.188834;45.402257
120;275;-93.189005;45.402257
120;276;-93.189168;45.402257
120;277;-93.189336;45.402251
120;278;-93.189507;45.402248
120;279;-93.189666;45.402245
120;280;-93.189909;45.402245
120;281;-93.190065;45.402239
120;282;-93.190228;45.402236
120;283;-93.190403;45.402233
120;284;-93.190559;45.40223
120;285;-93.190722;45.40223
120;286;-93.190716;45.402109
120;287;-93.190564;45.402115
120;288;-93.190393;45.402115
120;289;-93.19023;45.402118
120;290;-93.190059;45.402121
120;291;-93.189892;45.402124
120;292;-93.189664;45.402124
120;293;-93.189501;45.402127
120;294;-93.18933;45.40213
120;295;-93.189163;45.402136
120;296;-93.188999;45.402136
120;297;-93.188836;45.402142
120;298;-93.188604;45.402145
120;299;-93.188441;45.402148
120;300;-93.18827;45.402148
120;301;-93.188107;45.402151
120;302;-93.187939;45.402151
120;303;-93.187768;45.402154
120;304;-93.187612;45.402153
120;305;-93.18761;45.402009
120;306;-93.187768;45.402004
120;307;-93.187938;45.402002
120;308;-93.188095;45.401999
120;309;-93.188268;45.401998
120;310;-93.188432;45.401997
120;311;-93.188601;45.40199
120;312;-93.188829;45.401992
120;313;-93.189;45.401992
120;314;-93.189164;45.401992
120;315;-93.189331;45.401986
120;316;-93.189502;45.401976
120;317;-93.18967;45.401974
120;318;-93.189889;45.401977
120;319;-93.19006;45.401974
120;320;-93.190224;45.401971
120;321;-93.190398;45.401968
120;322;-93.190554;45.401966
120;323;-93.190717;45.401965
120;324;-93.190712;45.401844
120;325;-93.19056;45.40185
120;326;-93.190389;45.40185
120;327;-93.190225;45.401853
120;328;-93.190054;45.401856
120;329;-93.189887;45.401859
120;330;-93.189659;45.401859
120;331;-93.189496;45.401862
120;332;-93.189325;45.401865
120;333;-93.189158;45.401871
120;334;-93.188995;45.401871
120;335;-93.188831;45.401877
120;336;-93.1886;45.40188
120;337;-93.188425;45.40188
120;338;-93.188265;45.401883
120;339;-93.188102;45.401886
120;340;-93.187935;45.401886
120;341;-93.187764;45.401889
120;342;-93.187604;45.401894
