"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,5,1983,0,"Intact",9,0,"1. Control",0,2,"INTRODUCED",74.667
"A",1,5,1983,0,"Intact",9,0,"1. Control",0,2,"NATIVE",16.633
"A",1,5,1983,0,"Intact",9,0,"1. Control",0,2,NA,0.5
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,"INTRODUCED",196.159
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,"NATIVE",37.075
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,NA,1.543
"A",1,5,1985,0,"Intact",9,0,"1. Control",0,4,"INTRODUCED",110.813
"A",1,5,1985,0,"Intact",9,0,"1. Control",0,4,"NATIVE",60.256
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,"INTRODUCED",66.08
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,"NATIVE",15.96
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,NA,9.9
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,"INTRODUCED",85.566
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,"NATIVE",48.366
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,NA,4.767
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,"INTRODUCED",34.1
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,"NATIVE",0.3
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,NA,10.533
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,"INTRODUCED",108.103
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,"NATIVE",31.4
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,NA,50.067
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,"INTRODUCED",25.033
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,"NATIVE",27.593
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,NA,24.1
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,"INTRODUCED",43.46
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,"NATIVE",37.816
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,NA,61.033
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,"INTRODUCED",22.634
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,"NATIVE",61.947
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,NA,75.467
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,"INTRODUCED",31.191
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,"NATIVE",88.667
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,NA,65.233
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,"INTRODUCED",18.502
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,"NATIVE",32.6
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,NA,57.267
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,"INTRODUCED",25.267
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,"NATIVE",63.47
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,NA,44.467
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,"INTRODUCED",34.72
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,"NATIVE",32.134
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,NA,134.3
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,"INTRODUCED",5.666
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,"NATIVE",32.933
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,NA,18.1
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,"INTRODUCED",17.767
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,"NATIVE",26.466
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,NA,68
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,"INTRODUCED",42.52
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,"NATIVE",18.133
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,NA,71.367
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,"INTRODUCED",7.666
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,"NATIVE",39.033
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,NA,73.1
"A",1,5,2001,0,"Intact",9,0,"1. Control",0,20,"INTRODUCED",39.8
"A",1,5,2001,0,"Intact",9,0,"1. Control",0,20,"NATIVE",30.767
"A",1,5,2001,0,"Intact",9,0,"1. Control",0,20,NA,120.73
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,"INTRODUCED",37.31
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,"NATIVE",6.6
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,NA,101.93
"A",1,5,2003,0,"Intact",9,0,"1. Control",0,22,"INTRODUCED",59.5
"A",1,5,2003,0,"Intact",9,0,"1. Control",0,22,"NATIVE",7.367
"A",1,5,2003,0,"Intact",9,0,"1. Control",0,22,NA,56.333
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,"INTRODUCED",137.503
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,"NATIVE",6.2
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,NA,28.867
"A",1,6,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"INTRODUCED",159.841
"A",1,6,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"NATIVE",27.373
"A",1,6,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"INTRODUCED",414.07
"A",1,6,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"NATIVE",1.75
