"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","functional.group","mass.above"
"A",1,1,2001,0,"Intact",9,0,"1. Control",0,20,"L",0.067
"A",1,1,2002,0,"Intact",9,0,"1. Control",0,21,"C3",69.677
"A",1,1,2002,0,"Intact",9,0,"1. Control",0,21,"C4",51.7
"A",1,1,2002,0,"Intact",9,0,"1. Control",0,21,"F",14.287
"A",1,1,2003,0,"Intact",9,0,"1. Control",0,22,"C3",29.2
"A",1,1,2003,0,"Intact",9,0,"1. Control",0,22,"C4",47.033
"A",1,1,2003,0,"Intact",9,0,"1. Control",0,22,"L",1.633
"A",1,1,2004,0,"Intact",9,0,"1. Control",0,23,"C3",18.5337
"A",1,1,2004,0,"Intact",9,0,"1. Control",0,23,"C4",32.333
"A",1,1,2004,0,"Intact",9,0,"1. Control",0,23,"F",1.3333
"A",1,1,2004,0,"Intact",9,0,"1. Control",0,23,"L",0.3333
"A",1,5,1982,0,"Intact",9,0,"1. Control",0,1,"C3",59.373
"A",1,5,1982,0,"Intact",9,0,"1. Control",0,1,"C4",0.58
"A",1,5,1982,0,"Intact",9,0,"1. Control",0,1,"F",376.57
"A",1,5,1983,0,"Intact",9,0,"1. Control",0,2,"C3",51.133
"A",1,5,1983,0,"Intact",9,0,"1. Control",0,2,"F",40.667
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,"C3",120.813
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,"C4",0.097
"A",1,5,1984,0,"Intact",9,0,"1. Control",0,3,"F",113.867
"A",1,5,1985,0,"Intact",9,0,"1. Control",0,4,"C3",123.97
"A",1,5,1985,0,"Intact",9,0,"1. Control",0,4,"C4",44.133
"A",1,5,1985,0,"Intact",9,0,"1. Control",0,4,"F",2.966
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,"C3",64.043
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,"C4",10.193
"A",1,5,1986,0,"Intact",9,0,"1. Control",0,5,"F",17.704
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,"C3",91.466
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,"C4",0.233
"A",1,5,1987,0,"Intact",9,0,"1. Control",0,6,"F",47
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,"C3",37.433
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,"C4",0.233
"A",1,5,1988,0,"Intact",9,0,"1. Control",0,7,"F",7.267
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,"C3",154.937
