"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,5,1986,0,"Intact",9,"1. Control",0,0,5,"BIENNIAL",9.66
"A",1,5,1986,0,"Intact",9,"1. Control",0,0,5,"PERENNIAL",77.154
"A",1,5,1987,0,"Intact",9,"1. Control",0,0,6,"ANNUAL",0.333
"A",1,5,1987,0,"Intact",9,"1. Control",0,0,6,"BIENNIAL",9.1
"A",1,5,1987,0,"Intact",9,"1. Control",0,0,6,"PERENNIAL",129.266
"A",1,5,1988,0,"Intact",9,"1. Control",0,0,7,"BIENNIAL",7.167
"A",1,5,1988,0,"Intact",9,"1. Control",0,0,7,"PERENNIAL",37.766
"A",1,5,1989,0,"Intact",9,"1. Control",0,0,8,"ANNUAL",0.1
"A",1,5,1989,0,"Intact",9,"1. Control",0,0,8,"BIENNIAL",2.7
"A",1,5,1989,0,"Intact",9,"1. Control",0,0,8,"PERENNIAL",186.77
"A",1,5,1990,0,"Intact",9,"1. Control",0,0,9,"ANNUAL",0.033
"A",1,5,1990,0,"Intact",9,"1. Control",0,0,9,"PERENNIAL",76.693
"A",1,5,1991,0,"Intact",9,"1. Control",0,0,10,"ANNUAL",0.044
"A",1,5,1991,0,"Intact",9,"1. Control",0,0,10,"BIENNIAL",0.666
"A",1,5,1991,0,"Intact",9,"1. Control",0,0,10,"PERENNIAL",141.599
"A",1,5,1992,0,"Intact",9,"1. Control",0,0,11,"ANNUAL",0.014
"A",1,5,1992,0,"Intact",9,"1. Control",0,0,11,"BIENNIAL",0.067
"A",1,5,1992,0,"Intact",9,"1. Control",0,0,11,"PERENNIAL",159.967
"A",1,5,1993,0,"Intact",9,"1. Control",0,0,12,"ANNUAL",0.024
"A",1,5,1993,0,"Intact",9,"1. Control",0,0,12,"PERENNIAL",185.067
"A",1,5,1994,0,"Intact",9,"1. Control",0,0,13,"ANNUAL",0.002
"A",1,5,1994,0,"Intact",9,"1. Control",0,0,13,"PERENNIAL",108.367
"A",1,5,1995,0,"Intact",9,"1. Control",0,0,14,"ANNUAL",0.767
"A",1,5,1995,0,"Intact",9,"1. Control",0,0,14,"BIENNIAL",0.6
"A",1,5,1995,0,"Intact",9,"1. Control",0,0,14,"PERENNIAL",131.837
"A",1,5,1996,0,"Intact",9,"1. Control",0,0,15,"ANNUAL",0.053
"A",1,5,1996,0,"Intact",9,"1. Control",0,0,15,"PERENNIAL",201.101
